ruling_id,decided_on,issue_ref,policy_id,decision,severity_at_time,expires_on,rationale,decided_by,team
EXC-2025-014,2025-10-02,EPIC-3980,ASP-NET-02,EXCEPTION_GRANTED,Critical,2026-09-30,"Partner-bank pilot permitted to terminate TLS at a dedicated ingress outside the managed edge, because the gateway did not yet support the partner's client-certificate scheme. Conditional on the pilot staying at two partners and on migration to the managed edge before expiry.",S. Okonkwo (CISO delegate),Payments Platform
RUL-2025-031,2025-11-18,EPIC-4103,ASP-DAT-02,REJECTED,Critical,,"Request for the analytics group to query the production data lake directly was rejected. Board position: analytical access is served by the masked replica, not by read access to production. Re-proposals must show masking at the source, not access controls on top.",Security Architecture Review Board,Data Platform
RUL-2025-022,2025-08-27,EPIC-3844,ASP-SUP-02,CONDITIONS_APPLIED,High,,Shared build runners approved for two teams on condition of per-job credential scoping and workspace teardown between jobs. Conditions were implemented for those two teams only.,Security Architecture Review Board,Developer Experience
RUL-2026-004,2026-02-11,EPIC-4211,ASP-SUP-02,REJECTED,High,,"Second request to widen the shared runner pool rejected: the per-job isolation from RUL-2025-022 was found not to be in place, so the original conditions were never met. Any further request must evidence isolation before approval, not promise it.",Security Architecture Review Board,Developer Experience
RSK-2025-009,2025-06-30,EPIC-3712,ASP-CRY-03,RISK_ACCEPTED,Medium,2026-12-31,"The legacy settlement adapter cannot rotate certificates automatically and runs on 12-month certificates. Risk accepted until the adapter is decommissioned or the internal CA migration lands, whichever is first.",S. Okonkwo (CISO delegate),Core Banking
RSK-2026-002,2026-01-22,EPIC-4155,ASP-DAT-05,RISK_ACCEPTED,Medium,2027-03-31,"Observability stack retains trace data for 30 days against a declared 14-day target, because the storage tier cannot express per-signal retention. Accepted on the basis that traces carry no personal data. Acceptance is void if that ceases to hold.",Security Architecture Review Board,Observability
RUL-2026-011,2026-03-19,EPIC-4260,ASP-TPR-01,CONDITIONS_APPLIED,Critical,,"Managed message broker approved subject to entry in the register of information and an exit plan with a stated extraction format. Precedent: managed data services are approvable, but the exit plan is a precondition and not a follow-up.",Compliance,Payments Platform
RUL-2026-018,2026-05-06,EPIC-4318,ASP-DAT-03,REMEDIATED,High,,"Full request bodies were found in the payments service logs during a review. Redaction was implemented at the emitting service. Precedent for scope: redaction belongs at the emitter, not in the log pipeline, because the pipeline is not a trust boundary.",Security Architecture Review Board,Payments Platform
RUL-2026-023,2026-06-24,EPIC-4351,ASP-IAM-02,REJECTED,High,,Proposal to store a long-lived cloud access key in the secret manager was rejected. The secret manager is not a mitigation for a long-lived credential; federation was available and was required instead.,Security Architecture Review Board,Data Platform
RSK-2026-007,2026-04-15,EPIC-4289,ASP-SUP-03,RISK_ACCEPTED,High,2026-10-31,Two high-severity vulnerabilities in the vendor-supplied fraud-scoring image cannot be patched before the vendor's next release. Compensating controls: egress restriction and additional runtime monitoring.,S. Okonkwo (CISO delegate),Fraud
RUL-2026-029,2026-07-08,EPIC-4372,ASP-NET-03,CONDITIONS_APPLIED,Critical,,A reporting flow crossing out of the cardholder data environment was approved subject to tokenisation before the boundary and a segmentation test. Precedent: PCI boundary crossings are approvable only with tokenisation at source.,Compliance,Payments Platform
RUL-2026-033,2026-07-29,EPIC-4390,ASP-RES-01,REMEDIATED,High,,Quarterly restore test for the customer ledger had never actually been run; the job monitor was green because the backup job succeeded. Restore drill is now scheduled and evidenced.,Platform Security,Core Banking
RUL-2026-036,2026-08-12,EPIC-4402,ASP-CHG-01,CONDITIONS_APPLIED,High,,Reminder issued to all platform teams: a risk assessment recorded after merge does not satisfy ASP-CHG-01. Several changes in Q2 carried assessments dated after the merge commit.,Security Architecture Review Board,All platform teams
EXC-2026-005,2026-03-04,EPIC-4240,ASP-NET-04,EXCEPTION_GRANTED,High,2026-11-30,"The market-data ingest service requires egress to a provider IP range that changes without notice, so a hostname-based allow-list is used instead of the standard IP allow-list. Reviewed at expiry.",Platform Security,Market Data
RUL-2025-040,2025-12-16,EPIC-4128,ASP-CRY-01,CONDITIONS_APPLIED,High,,"Service mesh mTLS rollout approved in permissive mode for one quarter to allow migration, on condition of a dated cutover to strict mode. Precedent: permissive mTLS is a migration state with an end date, not a resting state.",Security Architecture Review Board,Platform
RSK-2025-015,2025-09-10,EPIC-3901,ASP-IAM-01,RISK_ACCEPTED,High,2026-06-30,"Standing production access retained for four named core-banking engineers during the mainframe offload, because just-in-time tooling did not cover the legacy estate. EXPIRED without renewal.",S. Okonkwo (CISO delegate),Core Banking
