provider_id,provider_name,country,segment,tier,onboarded_date,commission_pct,payment_terms_days,account_manager,contract_renewal_date
PRV-001,adidas,DE,Sportswear,Strategic,2019-03-01,0.19,45,Lena Brauer,2027-03-31
PRV-002,Ombra Fashion,IT,Fast fashion,Volume,2023-06-15,0.27,30,Marco Villa,2026-11-30
PRV-003,Nordvik Studio,SE,Contemporary,Core,2020-09-01,0.22,45,Lena Brauer,2027-08-31
PRV-004,Maison Rive,FR,Premium,Premium,2021-02-01,0.16,60,Sophie Aumont,2027-01-31
PRV-005,Bloomwell,NL,Sustainable basics,Core,2022-04-01,0.24,30,Sophie Aumont,2027-04-30
PRV-006,Tessuto Milano,IT,Knitwear,Core,2020-01-15,0.21,45,Marco Villa,2026-12-31
PRV-007,Kappler & Sohn,DE,Heritage outerwear,Legacy,2018-08-01,0.2,60,Thomas Feldt,2026-10-31
PRV-008,Lumen Athletics,GB,Activewear,Growth,2023-01-10,0.25,30,Thomas Feldt,2027-01-09
PRV-009,Vela Denim,PT,Denim,Core,2021-07-01,0.23,45,Sophie Aumont,2027-06-30
PRV-010,Sable & Stone,ES,Accessories,Core,2020-11-01,0.26,45,Marco Villa,2027-10-31
PRV-011,Kyoto Line,JP,Minimal design,Growth,2025-05-01,0.235,45,Lena Brauer,2027-04-30
PRV-012,Fleur de Sel,FR,Occasionwear,Seasonal,2022-02-01,0.245,30,Sophie Aumont,2027-01-31
PRV-013,Brixton Union,GB,Streetwear,Growth,2022-09-01,0.25,30,Thomas Feldt,2026-09-30
PRV-014,Halcyon Home,DK,Loungewear,Legacy,2021-01-15,0.235,45,Thomas Feldt,2026-12-31
PRV-015,Trueform,PL,Shapewear & basics,Growth,2023-03-01,0.26,30,Marco Villa,2027-02-28
