policy_id,domain,title,requirement,severity_floor,blocking,iso_27001_2022_controls,dora_articles,other_references,owner,last_reviewed
ASP-IAM-01,IAM,Human access to production is time-bound and approved,"Standing human access to production namespaces is prohibited. Access is granted just-in-time for a named change or incident, expires within 8 hours, and is approved by someone other than the requester.",High,yes,A.5.15; A.5.18; A.8.2,Art. 9,,Security Architecture,2026-05-14
ASP-IAM-02,IAM,"Workload identity is federated, never a long-lived credential","Workloads authenticate to cloud services and internal APIs using short-lived federated identity (OIDC / workload identity). Long-lived static credentials issued to a workload are prohibited, including in secret managers.",High,yes,A.5.16; A.8.2; A.8.24,Art. 9,,Security Architecture,2026-05-14
ASP-IAM-03,IAM,Least privilege on Kubernetes RBAC,"ServiceAccounts are scoped to a single namespace and to the verbs the workload needs. cluster-admin, wildcard verbs and wildcard resources are prohibited outside the platform team's own control-plane tooling.",High,yes,A.5.15; A.8.2,Art. 9,"CIS Kubernetes Benchmark, RBAC and Service Accounts",Platform Security,2026-04-02
ASP-IAM-04,IAM,Break-glass credentials are held offline and alarmed,"Break-glass accounts exist for each production cluster, are stored offline, and every use raises an immediate alert to the on-call security engineer.",Medium,no,A.8.2,Art. 9; Art. 10,,Security Architecture,2026-05-14
ASP-CRY-01,CRYPTO,Mutual TLS on all service-to-service traffic,"Traffic between services inside the platform is mutually authenticated with TLS 1.3. Plaintext internal traffic is prohibited, including within a single cluster or namespace.",High,yes,A.8.20; A.8.24,Art. 9,,Security Architecture,2026-05-14
ASP-CRY-02,CRYPTO,Customer data is encrypted at rest with bank-managed keys,Data classified Confidential or above is encrypted at rest using keys held in the bank's own KMS. Provider-managed keys are not acceptable for customer financial data.,High,yes,A.8.24,Art. 9,,Security Architecture,2026-03-11
ASP-CRY-03,CRYPTO,Certificate lifetimes do not exceed 90 days,TLS certificates issued by the internal CA expire within 90 days and are renewed automatically. Manual renewal is prohibited for anything in the request path.,Medium,no,A.8.24,Art. 9,,Platform Security,2026-04-02
ASP-CRY-04,CRYPTO,Secrets are never carried in environment variables or images,"Secrets are mounted from the secret manager at runtime. Secrets in environment variables, container images, Helm values, or git are prohibited regardless of repository visibility.",Critical,yes,A.8.24; A.8.12,Art. 9,,Security Architecture,2026-05-14
ASP-NET-01,NETWORK,Default-deny network policy in every namespace,Every namespace carries a default-deny NetworkPolicy for ingress and egress. Permitted flows are declared explicitly and reviewed when they change.,High,yes,A.8.20; A.8.22,Art. 9,"CIS Kubernetes Benchmark, Network Policies and CNI",Platform Security,2026-04-02
ASP-NET-02,NETWORK,External exposure goes through the managed edge only,"Services reachable from outside the bank are published through the managed API gateway, which provides authentication, rate limiting, WAF and request logging. Direct LoadBalancer or NodePort exposure of an application is prohibited.",Critical,yes,A.8.20; A.8.22,Art. 9; Art. 10,,Security Architecture,2026-05-14
ASP-NET-03,NETWORK,Cardholder data environment is network-segregated,Workloads in PCI scope run in dedicated clusters with no shared network path to non-PCI workloads. Any flow crossing the boundary requires a documented segmentation review.,Critical,yes,A.8.22,Art. 9,PCI DSS Requirement 1,Compliance,2026-02-19
ASP-NET-04,NETWORK,Egress to the internet is allow-listed,Production workloads reach external destinations through the egress proxy against an allow-list. Unrestricted egress is prohibited.,High,yes,A.8.20; A.8.22,Art. 9,,Platform Security,2026-04-02
ASP-DAT-01,DATA,Data classification is declared before a store is provisioned,"Every data store carries a classification (Public, Internal, Confidential, Restricted) and a named data owner before it is created. Undeclared stores are treated as Restricted.",Medium,yes,A.5.12; A.5.13,Art. 8,,Data Governance,2026-01-30
ASP-DAT-02,DATA,Personal and payment data is masked outside production,"Non-production environments never hold real personal or payment data. Data used for testing or analysis is masked, tokenised or synthetic.",Critical,yes,A.8.11; A.8.33,Art. 9,GDPR Art. 32; PCI DSS Requirement 3,Data Governance,2026-01-30
ASP-DAT-03,DATA,"Personal data does not enter logs, traces or metrics","Telemetry must not contain personal data, authentication material, primary account numbers or full request or response bodies. Field-level redaction is applied at the emitting service.",High,yes,A.8.11; A.8.12; A.8.15,Art. 9; Art. 10,GDPR Art. 5(1)(c),Security Architecture,2026-05-14
ASP-DAT-04,DATA,Customer data stays in the EU,Customer data is processed and stored within the EU or EEA. Any processing outside requires a transfer assessment approved by the DPO before the change ships.,Critical,yes,A.5.34,Art. 28,GDPR Chapter V,Compliance,2026-02-19
ASP-DAT-05,DATA,Retention is declared and enforced technically,Every data store declares a retention period with an enforcing mechanism. Indefinite retention of personal data is prohibited.,Medium,no,A.5.33; A.8.10,Art. 8,GDPR Art. 5(1)(e),Data Governance,2026-01-30
ASP-LOG-01,LOGGING,Security-relevant events are shipped to the central SIEM,"Authentication, authorisation failures, privileged actions and configuration changes are shipped to the central SIEM within 5 minutes and retained 400 days.",High,yes,A.8.15; A.8.16,Art. 10,,Security Operations,2026-04-24
ASP-LOG-02,LOGGING,Audit logs are tamper-evident and separately controlled,Audit logs are append-only and cannot be modified or deleted by the workloads or operators they describe.,High,yes,A.8.15,Art. 10; Art. 13,,Security Operations,2026-04-24
ASP-LOG-03,LOGGING,New external surfaces have detection before go-live,"A newly exposed external interface has alerting for authentication failure spikes, anomalous volume and error-rate deviation in place before it serves production traffic.",High,yes,A.8.16,Art. 10,,Security Operations,2026-04-24
